Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,CAQI,CAQI_Opis,Predicted_CAQI,Predicted_CAQI_Desc
2025-04-28 00:00:00,16.5,22.5,371.0,52.3,11.0,3.0,27.5,Dobry,27.526346666666676,Dobry
2025-04-28 01:00:00,17.1,23.1,381.0,45.1,28.0,3.2,28.500000000000004,Dobry,28.49692766666664,Dobry
2025-04-28 02:00:00,19.0,24.4,438.0,34.0,33.5,2.3,31.666666666666668,Dobry,31.802784166666694,Dobry
2025-04-28 03:00:00,15.5,19.0,343.0,15.5,28.2,2.6,25.83333333333333,Dobry,25.840167500000007,Dobry
2025-04-28 04:00:00,17.6,22.0,406.0,23.4,17.7,2.3,29.333333333333336,Dobry,29.35510333333332,Dobry
2025-04-28 05:00:00,15.7,20.0,379.0,21.0,13.3,2.3,26.166666666666664,Dobry,26.21536308333332,Dobry
2025-04-28 06:00:00,14.1,18.3,341.0,17.6,14.3,2.1,23.5,Bardzo dobry,23.552412333333333,Bardzo dobry
2025-04-28 07:00:00,11.1,15.4,361.0,19.6,14.8,2.3,18.5,Bardzo dobry,18.53154133333333,Bardzo dobry
2025-04-28 08:00:00,12.7,22.5,590.0,45.9,30.8,3.2,22.95,Bardzo dobry,23.624109250000007,Bardzo dobry
2025-04-28 09:00:00,8.4,17.5,348.0,26.2,47.7,4.5,19.875,Bardzo dobry,20.12296283333337,Bardzo dobry
2025-04-28 10:00:00,7.6,22.5,373.0,32.0,67.6,5.7,28.166666666666664,Dobry,28.18970524999999,Dobry
2025-04-28 11:00:00,5.2,18.3,334.0,25.9,98.6,5.0,41.08333333333333,Dobry,41.1242889166667,Dobry
2025-04-28 12:00:00,4.4,16.6,292.0,25.5,109.9,5.6,45.79166666666667,Dobry,45.76836250000001,Dobry
2025-04-28 13:00:00,4.1,15.6,268.0,21.9,119.1,,49.625,Dobry,49.66044166666669,Dobry
2025-04-28 14:00:00,3.8,14.8,283.0,26.1,127.4,4.4,53.083333333333336,Średni,53.15834020833332,Średni
2025-04-28 15:00:00,3.9,16.5,327.0,24.9,132.2,5.0,55.08333333333333,Średni,54.89029166666667,Średni
